2345,Akita Airport,Japan,AXT,39.61560059,140.2189941,313,U,Asia/Tokyo
7131,Arkalyk North Airport,Kazakhstan,AYK,50.3185997,66.95279694,1266,U,Asia/Qyzylorda
2164,Shahid Sadooghi Airport,Iran,AZD,31.9048996,54.2765007,4054,E,Asia/Tehran
2180,Bateen Airport,United Arab Emirates,AZI,24.42830086,54.45809937,16,U,Asia/Dubai
6148,Andizhan Airport,Uzbekistan,AZN,40.72769928,72.29399872,1515,U,Asia/Samarkand
2405,Loakan Airport,Philippines,BAG,16.37509918,120.6200027,4251,N,Asia/Manila
2057,Bahrain International Airport,Bahrain,BAH,26.27079964,50.63359833,6,U,Asia/Bahrain
6346,Baotou Airport,China,BAV,40.56000137,109.9970016,3321,U,Asia/Shanghai
2956,Barnaul Airport,Russia,BAX,53.36380005,83.53849792,837,N,Asia/Krasnoyarsk
3042,Biju Patnaik Airport,India,BBI,20.24440002,85.81780243,138,N,Asia/Calcutta
6171,Battambang Airport,Cambodia,BBM,13.09560013,103.223999,59,U,Asia/Phnom_Penh
6220,Bario Airport,Malaysia,BBN,3.733890057,115.4789963,3350,N,Asia/Kuala_Lumpur
2423,Bacolod-Silay Airport,Philippines,BCD,10.7764,123.014999,82,N,Asia/Manila
3311,Cakung Airport,East Timor,BCH,-8.489029884,126.401001,1771,U,Asia/Dili
2110,Bandar Lengeh Airport,Iran,BDH,26.53199959,54.82479858,67,E,Asia/Tehran
3908,Syamsudin Noor Airport,Indonesia,BDJ,-3.442359924,114.7630005,66,N,Asia/Makassar
2230,Talhar Airport,Pakistan,BDN,24.84149933,68.83840179,28,N,Asia/Karachi
3896,Husein Sastranegara International Airport,Indonesia,BDO,-6.900629997,107.5759964,2436,N,Asia/Jakarta
6180,Bhadrapur Airport,Nepal,BDP,26.57080078,88.07959747,300,N,Asia/Katmandu
3001,Vadodara Airport,India,BDQ,22.336201,73.226303,129,N,Asia/Calcutta
6209,Kalimarau Airport,Indonesia,BEJ,2.1555,117.431999,59,N,Asia/Makassar
3088,Bareilly Air Force Station,India,BEK,28.42210007,79.45079803,580,N,Asia/Calcutta
3132,Bellary Airport,India,BEP,15.16279984,76.88279724,30,N,Asia/Calcutta
2177,Beirut Rafic Hariri International Airport,Lebanon,BEY,33.82089996,35.48839951,87,E,Asia/Beirut
9025,Bijie Feixiong Airport,China,BFJ,27.267066,105.472097,4751,N,Asia/Shanghai
4133,Buri Ram Airport,Thailand,BFV,15.22949982,103.2529984,590,U,Asia/Bangkok
4130,Baghdad International Airport,Iraq,BGW,33.26250076,44.23460007,114,U,Asia/Baghdad
2062,Bisha Airport,Saudi Arabia,BHH,19.9843998,42.6208992,3887,U,Asia/Riyadh
2999,Bhuj Airport,India,BHJ,23.28779984,69.67019653,268,N,Asia/Calcutta
2980,Bukhara Airport,Uzbekistan,BHK,39.77500153,64.48329926,751,U,Asia/Samarkand
3982,Beihan Airport,Yemen,BHN,14.78199959,45.7201004,3800,U,Asia/Aden
3002,Raja Bhoj International Airport,India,BHO,23.28750038,77.33740234,1711,N,Asia/Calcutta
4171,Bhojpur Airport,Nepal,BHP,27.1473999,87.05079651,4000,N,Asia/Katmandu
6179,Bharatpur Airport,Nepal,BHR,27.678101,84.429398,600,N,Asia/Katmandu
3003,Bhavnagar Airport,India,BHU,21.75219917,72.18520355,44,N,Asia/Calcutta
5939,Bahawalpur Airport,Pakistan,BHV,29.34810066,71.71800232,392,N,Asia/Karachi
2197,Bhagatanwala Airport,Pakistan,BHW,32.05609894,72.9484024,600,N,Asia/Karachi
6351,Beihai Airport,China,BHY,21.5394,109.293999,0,U,Asia/Shanghai
3241,Frans Kaisiepo Airport,Indonesia,BIK,-1.190019965,136.1080017,46,N,Asia/Jayapura
8825,Bamiyan Airport,Afghanistan,BIN,34.81700134,67.81700134,8367,N,Asia/Kabul
3129,Biratnagar Airport,Nepal,BIR,26.48150063,87.26399994,236,N,Asia/Katmandu
5930,Bojnord Airport,Iran,BJB,37.49300003,57.30820084,3499,E,Asia/Tehran
4187,Bajhang Airport,Nepal,BJH,29.53899956,81.18540192,4100,N,Asia/Katmandu
9132,Bajura Airport,Nepal,BJU,29.50200081,81.66899872,4300,N,Asia/Katmandu
